stack=Kibra_9_3;stackdb=Kibra_9_3_db2;saveTime=3548926957.759000;version=20151224;numHeaderRow=1;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,942,943,80,88,0.3,62,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,sDist3d,pDist,pDist3d,Filament,SetID,GroupID
NaN,NaN,58.029999,54.320000,4.000000,4.000000,NaN,NaN,30.000000,0.000000,NaN,NaN,NaN,NaN,2.401961,3.915814,2.401961,3.915814,NaN,NaN,NaN,
NaN,NaN,57.959999,54.320000,4.000000,4.000000,NaN,NaN,31.000000,0.000000,NaN,NaN,NaN,NaN,2.471961,3.985814,2.471961,3.985814,NaN,NaN,NaN,
NaN,NaN,57.889999,54.320000,4.000000,4.000000,NaN,NaN,32.000000,0.000000,NaN,NaN,NaN,NaN,2.541960,4.055813,2.541960,4.055813,NaN,NaN,NaN,
NaN,NaN,57.820000,54.320000,4.000000,4.000000,NaN,NaN,33.000000,0.000000,NaN,NaN,NaN,NaN,2.611960,4.125813,2.611960,4.125813,NaN,NaN,NaN,
NaN,NaN,57.750000,54.320000,4.000000,4.000000,NaN,NaN,34.000000,0.000000,NaN,NaN,NaN,NaN,2.681960,4.195813,2.681960,4.195813,NaN,NaN,NaN,
NaN,NaN,57.680000,54.320000,4.000000,4.000000,NaN,NaN,35.000000,0.000000,NaN,NaN,NaN,NaN,2.751960,4.265812,2.751960,4.265812,NaN,NaN,NaN,
NaN,NaN,57.610001,54.250000,4.000000,4.000000,NaN,NaN,36.000000,0.000000,NaN,NaN,NaN,NaN,2.850954,4.364807,2.850954,4.364807,NaN,NaN,NaN,
NaN,NaN,57.540001,54.250000,4.000000,4.000000,NaN,NaN,37.000000,0.000000,NaN,NaN,NaN,NaN,2.920954,4.434807,2.920954,4.434807,NaN,NaN,NaN,
NaN,NaN,57.470001,54.250000,4.000000,4.000000,NaN,NaN,38.000000,0.000000,NaN,NaN,NaN,NaN,2.990953,4.504807,2.990953,4.504807,NaN,NaN,NaN,
NaN,NaN,57.400002,54.250000,5.000000,5.000000,NaN,NaN,39.000000,0.000000,NaN,NaN,NaN,NaN,3.060953,4.891200,3.060953,4.891200,NaN,NaN,NaN,
NaN,NaN,57.330002,54.250000,5.000000,5.000000,NaN,NaN,40.000000,0.000000,NaN,NaN,NaN,NaN,3.130953,4.961200,3.130953,4.961200,NaN,NaN,NaN,
