stack=Kibra_10_2;stackdb=Kibra_10_2_db2;saveTime=3550303388.304000;version=20151224;
idx,x,y,z,sLen2d,sLen3d,intmSeconds,isDirty,intBad,intManual,spineWidth,extendHead,extendTail,scaleRadius,zPlusMinus,sSum,sMean,sSD,sN,sbSum,sbMean,sbSD,sbN,sbxyManual,sbxPos,sbyPos,dSum,dMean,dSD,dN,dPlus,dMinus,dbSum,dbMean,dbSD,dbN,ubssSum,ubssMean,ubsdSum,ubsdMean,usp1den2Sum
10.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
11.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
12.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
13.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
14.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
15.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
16.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
17.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
18.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
19.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
20.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
21.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
22.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
23.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
24.000000,NaN,NaN,NaN,0.566414,2.078660,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15563.000000,10.921404,12.776855,1425.000000,8053.000000,5.651228,2.317444,1425.000000,NaN,25.206345,51.577999,95368.000000,67.350281,37.691589,1416.000000,NaN,NaN,8235.000000,5.815678,2.841501,1416.000000,7510.000000,5.270176,87133.000000,61.534603,NaN,
25.000000,NaN,NaN,NaN,0.427329,2.045143,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19369.000000,16.769697,20.029673,1155.000000,6811.000000,5.896970,3.072032,1155.000000,NaN,26.053057,60.054798,100256.000000,67.924118,37.456936,1476.000000,NaN,NaN,8546.000000,5.789973,2.846454,1476.000000,12558.000000,10.872727,91710.000000,62.134144,NaN,
26.000000,NaN,NaN,NaN,0.228980,2.013065,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16539.000000,13.612346,18.287481,1215.000000,7645.000000,6.292181,3.485351,1215.000000,NaN,23.529453,57.324074,98868.000000,67.257141,37.145847,1470.000000,NaN,NaN,9271.000000,6.306803,3.372559,1470.000000,8894.000000,7.320165,89597.000000,60.950340,NaN,
27.000000,NaN,NaN,NaN,1.236842,1.236842,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21960.000000,9.593709,9.766374,2289.000000,12807.000000,5.595020,2.320815,2289.000000,NaN,35.909016,53.748409,62285.000000,46.137035,28.975714,1350.000000,NaN,NaN,7785.000000,5.766667,2.585456,1350.000000,9153.000000,3.998689,54500.000000,40.370369,NaN,
28.000000,NaN,NaN,NaN,0.799671,1.131138,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19412.000000,11.432273,12.534424,1698.000000,9784.000000,5.762073,2.714230,1698.000000,NaN,28.264677,47.909138,59844.000000,43.459694,29.470793,1377.000000,NaN,NaN,7961.000000,5.781409,2.710499,1377.000000,9628.000000,5.670200,51883.000000,37.678284,NaN,
29.000000,NaN,NaN,NaN,0.675625,1.206843,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23166.000000,14.326530,15.381285,1617.000000,9491.000000,5.869512,2.848209,1617.000000,NaN,26.034632,53.911564,71816.000000,50.610291,30.618696,1419.000000,NaN,NaN,8268.000000,5.826639,2.813848,1419.000000,13675.000000,8.457019,63548.000000,44.783653,NaN,
30.000000,NaN,NaN,NaN,0.589855,0.841385,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15263.000000,10.257393,12.037891,1488.000000,8470.000000,5.692204,2.544431,1488.000000,NaN,24.883152,46.145599,84987.000000,56.208332,35.257465,1512.000000,NaN,NaN,8544.000000,5.650794,2.450249,1512.000000,6793.000000,4.565188,76443.000000,50.557537,NaN,
