stack=Kibra_10_6;stackdb=Kibra_10_6_db2;saveTime=3550305275.216000;version=20151224;
idx,x,y,z,sLen2d,sLen3d,intmSeconds,isDirty,intBad,intManual,spineWidth,extendHead,extendTail,scaleRadius,zPlusMinus,sSum,sMean,sSD,sN,sbSum,sbMean,sbSD,sbN,sbxyManual,sbxPos,sbyPos,dSum,dMean,dSD,dN,dPlus,dMinus,dbSum,dbMean,dbSD,dbN,ubssSum,ubssMean,ubsdSum,ubsdMean,usp1den2Sum,
100.000000,NaN,NaN,NaN,1.231107,1.586072,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27722.000000,13.431202,15.877595,2064.000000,11955.000000,5.792151,2.786283,2064.000000,NaN,52.398535,24.919347,88431.000000,59.912602,35.933212,1476.000000,NaN,NaN,8406.000000,5.695122,2.663858,1476.000000,15767.000000,7.639050,80025.000000,54.217480,NaN,
101.000000,NaN,NaN,NaN,1.060915,1.457923,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25599.000000,12.754858,15.689589,2007.000000,11643.000000,5.801196,2.711601,2007.000000,NaN,49.795282,31.140601,88431.000000,59.912602,35.933212,1476.000000,NaN,NaN,8367.000000,5.668699,2.589810,1476.000000,13956.000000,6.953662,80064.000000,54.243902,NaN,
102.000000,NaN,NaN,NaN,1.344172,1.675350,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26381.000000,11.540245,15.102912,2286.000000,13015.000000,5.693351,2.662820,2286.000000,NaN,56.104344,23.469000,93094.000000,62.563172,40.487082,1488.000000,NaN,NaN,8434.000000,5.668011,2.532107,1488.000000,13366.000000,5.846894,84660.000000,56.895161,NaN,
103.000000,NaN,NaN,NaN,0.790727,1.274853,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16378.000000,8.935079,9.072286,1833.000000,10455.000000,5.703764,2.687321,1833.000000,NaN,56.504230,23.855028,89529.000000,60.288889,38.079636,1485.000000,NaN,NaN,8202.000000,5.523232,2.286791,1485.000000,5923.000000,3.231315,81327.000000,54.765657,NaN,
104.000000,NaN,NaN,NaN,1.093620,1.093620,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46669.000000,23.149306,32.805314,2016.000000,11219.000000,5.564980,2.366588,2016.000000,NaN,57.363275,23.540949,91115.000000,60.261243,42.561248,1512.000000,NaN,NaN,8531.000000,5.642196,2.526816,1512.000000,35450.000000,17.584325,82584.000000,54.619048,NaN,
105.000000,NaN,NaN,NaN,0.840103,1.306052,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19848.000000,11.008319,12.750288,1803.000000,10003.000000,5.547976,2.334250,1803.000000,NaN,56.653531,21.961069,87060.000000,57.465347,43.307028,1515.000000,NaN,NaN,8405.000000,5.547855,2.217273,1515.000000,9845.000000,5.460344,78655.000000,51.917492,NaN,
106.000000,NaN,NaN,NaN,0.753176,1.251908,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24877.000000,14.755042,16.013678,1686.000000,9583.000000,5.683867,2.724382,1686.000000,NaN,56.966132,20.966484,87220.000000,61.726822,45.083182,1413.000000,NaN,NaN,7986.000000,5.651805,2.569527,1413.000000,15294.000000,9.071174,79234.000000,56.075018,NaN,
107.000000,NaN,NaN,NaN,0.907349,0.907349,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26764.000000,15.381609,16.684548,1740.000000,10100.000000,5.804598,3.125473,1740.000000,NaN,64.699529,28.170386,101645.000000,68.865176,44.370109,1476.000000,NaN,NaN,8109.000000,5.493902,2.144436,1476.000000,16664.000000,9.577011,93536.000000,63.371274,NaN,
108.000000,NaN,NaN,NaN,0.984111,1.062297,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17716.000000,11.556425,12.620551,1533.000000,8951.000000,5.838878,3.070027,1533.000000,NaN,60.894273,30.780241,75712.000000,51.610089,38.348504,1467.000000,NaN,NaN,8215.000000,5.599864,2.518976,1467.000000,8765.000000,5.717547,67497.000000,46.010225,NaN,
109.000000,NaN,NaN,NaN,1.147807,1.147807,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20768.000000,9.509158,10.231624,2184.000000,12202.000000,5.586996,2.488220,2184.000000,NaN,63.106328,21.660182,70967.000000,48.674211,37.850682,1458.000000,NaN,NaN,7980.000000,5.473251,2.016653,1458.000000,8566.000000,3.922161,62987.000000,43.200960,NaN,
