stack=a5n_s0_ch1;stackdb=a5n_s0_db2;saveTime=3531199714.238000;version=20151102_v1;numHeaderRow=1;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,184,185,10,5,.1,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,
NaN,NaN,17.415001,29.250000,10.000000,10.000000,NaN,NaN,34.000000,0.000000,NaN,NaN,NaN,NaN,1.940070,1.940070,NaN,NaN,NaN,
NaN,NaN,17.370001,29.250000,10.000000,10.000000,NaN,NaN,35.000000,0.000000,NaN,NaN,NaN,NaN,1.985070,1.985070,NaN,NaN,NaN,
NaN,NaN,17.325001,29.250000,10.000000,10.000000,NaN,NaN,36.000000,0.000000,NaN,NaN,NaN,NaN,2.030070,2.030070,NaN,NaN,NaN,
NaN,NaN,17.280001,29.250000,10.000000,10.000000,NaN,NaN,37.000000,0.000000,NaN,NaN,NaN,NaN,2.075070,2.075070,NaN,NaN,NaN,
NaN,NaN,17.235001,29.205000,9.000000,9.000000,NaN,NaN,38.000000,0.000000,NaN,NaN,NaN,NaN,2.138710,2.138710,NaN,NaN,NaN,
NaN,NaN,17.190001,29.205000,8.000000,8.000000,NaN,NaN,39.000000,0.000000,NaN,NaN,NaN,NaN,2.183710,2.183710,NaN,NaN,NaN,
NaN,NaN,17.145000,29.205000,8.000000,8.000000,NaN,NaN,40.000000,0.000000,NaN,NaN,NaN,NaN,2.228710,2.228710,NaN,NaN,NaN,
NaN,NaN,17.100000,29.160000,8.000000,8.000000,NaN,NaN,41.000000,0.000000,NaN,NaN,NaN,NaN,2.292349,2.292349,NaN,NaN,NaN,
NaN,NaN,17.055000,29.115000,8.000000,8.000000,NaN,NaN,42.000000,0.000000,NaN,NaN,NaN,NaN,2.355989,2.355989,NaN,NaN,NaN,
NaN,NaN,17.010000,29.070000,8.000000,8.000000,NaN,NaN,43.000000,0.000000,NaN,NaN,NaN,NaN,2.419629,2.419629,NaN,NaN,NaN,
NaN,NaN,16.965000,29.025000,8.000000,8.000000,NaN,NaN,44.000000,0.000000,NaN,NaN,NaN,NaN,2.483268,2.483268,NaN,NaN,NaN,
NaN,NaN,16.920000,28.980000,8.000000,8.000000,NaN,NaN,45.000000,0.000000,NaN,NaN,NaN,NaN,2.546908,2.546908,NaN,NaN,NaN,
NaN,NaN,16.875000,28.934999,8.000000,8.000000,NaN,NaN,46.000000,0.000000,NaN,NaN,NaN,NaN,2.610548,2.610548,NaN,NaN,NaN,
